Date,Not indexed,Indexed,Impressions
2026-01-11,,,587
2026-01-12,,,762
2026-01-13,127,144,671
2026-01-14,136,171,745
2026-01-15,136,171,652
2026-01-16,136,171,618
2026-01-17,136,171,611
2026-01-18,158,163,572
2026-01-19,158,163,591
2026-01-20,158,163,590
2026-01-21,198,157,531
2026-01-22,198,157,540
2026-01-23,198,157,592
2026-01-24,198,157,578
2026-01-25,204,157,542
2026-01-26,204,157,567
2026-01-27,204,157,508
2026-01-28,204,159,521
2026-01-29,204,159,510
2026-01-30,204,159,593
2026-01-31,204,159,539
2026-02-01,208,158,581
2026-02-02,208,158,557
2026-02-03,208,158,557
2026-02-04,223,151,508
2026-02-05,223,151,489
2026-02-06,223,151,543
2026-02-07,223,151,554
2026-02-08,232,143,566
2026-02-09,232,143,562
2026-02-10,232,143,494
2026-02-11,234,141,560
2026-02-12,234,141,534
2026-02-13,234,141,580
2026-02-14,234,141,448
2026-02-15,197,178,572
2026-02-16,197,178,666
2026-02-17,197,178,639
2026-02-18,224,146,611
2026-02-19,224,146,553
2026-02-20,224,146,582
2026-02-21,224,146,576
2026-02-22,230,140,502
2026-02-23,230,140,541
2026-02-24,230,140,610
2026-02-25,234,137,559
2026-02-26,234,137,470
2026-02-27,234,137,552
2026-02-28,234,137,468
2026-03-01,234,137,496
2026-03-02,234,137,453
2026-03-03,234,137,440
2026-03-04,231,137,688
2026-03-05,231,137,584
2026-03-06,231,137,592
2026-03-07,231,137,455
2026-03-08,229,137,363
2026-03-09,229,137,471
2026-03-10,229,137,423
2026-03-11,227,137,488
2026-03-12,227,137,482
2026-03-13,227,137,584
2026-03-14,227,137,415
2026-03-15,227,137,
2026-03-16,221,136,
2026-03-17,221,136,
